text,source,claim_num,group,labeled_text
the us facilitated the sending of nearly 178 tons of donated medical supplies to china to combat the spread of the novel coronavirus in early 2020,snopes,774,0,__label__0 the us facilitated the sending of nearly 178 tons of donated medical supplies to china to combat the spread of the novel coronavirus in early 2020
A video shows protesters and members of antifa attacking the Texas Children's Hospital and terrorizing a child during spring 2020 demonstrations against police brutality.,snopes,1018,3,__label__3 A video shows protesters and members of antifa attacking the Texas Children's Hospital and terrorizing a child during spring 2020 demonstrations against police brutality.
"amy, i looked online at your (health care) plan. its two paragraphs.",politifact,1316,3,"__label__3 amy, i looked online at your (health care) plan. its two paragraphs."
australia closing borders in a few hours for 6 months,politifact,868,0,__label__0 australia closing borders in a few hours for 6 months
a photo shows adolf hitler holding a bible like donald trump.,politifact,1208,3,__label__3 a photo shows adolf hitler holding a bible like donald trump.
says 20 million chinese converted to islam after its proven that the coronavirus doesnt affect muslims,politifact,720,1,__label__1 says 20 million chinese converted to islam after its proven that the coronavirus doesnt affect muslims
"the woman in this photograph is margaret sanger, founder of planned parenthood, meeting with the ku klux klan in 1926, silver lake, new jersey.",politifact,1225,3,"__label__3 the woman in this photograph is margaret sanger, founder of planned parenthood, meeting with the ku klux klan in 1926, silver lake, new jersey."
the seasonal flu kills more people every year in the us than covid 19 has to date ,snopes,302,1,__label__1 the seasonal flu kills more people every year in the us than covid 19 has to date 
weis food stores will no longer sell anything with the american flag and their employees can no longer wear anything with the flag.,politifact,1110,3,__label__3 weis food stores will no longer sell anything with the american flag and their employees can no longer wear anything with the flag.
thieves are exploiting the coronavirus pandemic by dousing masks in chemicals that render people unconscious and then robbing them,snopes,388,1,__label__1 thieves are exploiting the coronavirus pandemic by dousing masks in chemicals that render people unconscious and then robbing them
"while we are all sitting here debating, wisconsin has kicked hundreds of thousands of people off of their voting rolls.",politifact,235,3,"__label__3 while we are all sitting here debating, wisconsin has kicked hundreds of thousands of people off of their voting rolls."
says melania trumps dress at mount rushmore speech was designed from drawings of several young victims of sex trafficking.,politifact,1127,3,__label__3 says melania trumps dress at mount rushmore speech was designed from drawings of several young victims of sex trafficking.
"A photograph shows a statue of Christopher Columbus that was ""beheaded.""",snopes,899,2,"__label__2 A photograph shows a statue of Christopher Columbus that was ""beheaded."""
in response to a question in a july 2020 cnn interview about what would happen if a covid 19 outbreak occurred in schools us education secretary betsy devos said you cant plan for something that hasnt happened yet,snopes,305,1,__label__1 in response to a question in a july 2020 cnn interview about what would happen if a covid 19 outbreak occurred in schools us education secretary betsy devos said you cant plan for something that hasnt happened yet
says the united nations plans to implant everyone with a biometric id.,politifact,1320,3,__label__3 says the united nations plans to implant everyone with a biometric id.
the fbi uncovered 256 texts between adam schiff and jeffrey epstein,politifact,1098,3,__label__3 the fbi uncovered 256 texts between adam schiff and jeffrey epstein
trey gowdy said im not saying covid 19 isnt real but pay attention folks theres much more going on here than what meets the eye,politifact,249,1,__label__1 trey gowdy said im not saying covid 19 isnt real but pay attention folks theres much more going on here than what meets the eye
"says joe biden said, we dont need any more n***** bigshots.",politifact,1092,3,"__label__3 says joe biden said, we dont need any more n***** bigshots."
"our health department, our city and our county declared racism as a public health crisis last year.",politifact,941,2,"__label__2 our health department, our city and our county declared racism as a public health crisis last year."
during the 1918 flu pandemic san francisco residents formed the anti mask league san francisco was ultimately one of the cities that suffered the most with a high death rate,politifact,71,0,__label__0 during the 1918 flu pandemic san francisco residents formed the anti mask league san francisco was ultimately one of the cities that suffered the most with a high death rate
says president donald trump said people are dying who have never died before,politifact,94,1,__label__1 says president donald trump said people are dying who have never died before
says daniel radcliffe has the coronavirus,politifact,693,1,__label__1 says daniel radcliffe has the coronavirus
chinese doctors confirmed that african people are genetically resistant to new coronavirus,snopes,33,1,__label__1 chinese doctors confirmed that african people are genetically resistant to new coronavirus
"the man pictured in a mugshot is not derek chauvin, the officer who was recorded kneeling on george floyds neck.",politifact,1198,3,"__label__3 the man pictured in a mugshot is not derek chauvin, the officer who was recorded kneeling on george floyds neck."
says he opposes statewide mask order because it would require him to wear a mask in my house or walking my dog,politifact,448,1,__label__1 says he opposes statewide mask order because it would require him to wear a mask in my house or walking my dog
mississippi got 10145 warrants for unemployment fraud!!,politifact,445,1,__label__1 mississippi got 10145 warrants for unemployment fraud!!
"Photographs show tigers, hippos, and giraffes that escaped from various zoos during widespread protests in May 2020. ",snopes,1036,3,"__label__3 Photographs show tigers, hippos, and giraffes that escaped from various zoos during widespread protests in May 2020. "
a denver international airport mural of people wearing masks was painted in 1994.,politifact,1134,3,__label__3 a denver international airport mural of people wearing masks was painted in 1994.
pelosi tried to block voter idabsentee ballot protections,politifact,859,0,__label__0 pelosi tried to block voter idabsentee ballot protections
our country and constitution was built on a foundational separation of church and state.,politifact,77,2,__label__2 our country and constitution was built on a foundational separation of church and state.
"a joe biden-bernie sanders unity policy document shows they want to abolish our police departments. they want to abolish our prisons, i guess.",politifact,84,3,"__label__3 a joe biden-bernie sanders unity policy document shows they want to abolish our police departments. they want to abolish our prisons, i guess."
the total number of covid 19 deaths in the us will be double the american death toll from the vietnam war by fall 2020,snopes,727,0,__label__0 the total number of covid 19 deaths in the us will be double the american death toll from the vietnam war by fall 2020
"today, the gap between african american and white homeownership is larger than it was in the late 1960s.",politifact,82,2,"__label__2 today, the gap between african american and white homeownership is larger than it was in the late 1960s."
you must apply to get your second stimulus check! ive already filed for mine and will be receiving $2000 a month for the rest of the year,politifact,457,1,__label__1 you must apply to get your second stimulus check! ive already filed for mine and will be receiving $2000 a month for the rest of the year
significantly more people died of covid 19 in two months than died of overdoses all of last year or the year before,politifact,810,0,__label__0 significantly more people died of covid 19 in two months than died of overdoses all of last year or the year before
The common allergy drug Benadryl can be used to treat rattlesnake bites. ,snopes,1008,3,__label__3 The common allergy drug Benadryl can be used to treat rattlesnake bites. 
harvard professor charles lieber was arrested for concealing funding from a chinese lab connected to the origin of the new coronavirus,snopes,436,1,__label__1 harvard professor charles lieber was arrested for concealing funding from a chinese lab connected to the origin of the new coronavirus
says italian prime minister giuseppe conte said we have lost control we have killed the epidemic physically and mentally cant understand what more we can do all solutions are exhausted on ground our only hope remains up in the sky god rescue your people,politifact,644,1,__label__1 says italian prime minister giuseppe conte said we have lost control we have killed the epidemic physically and mentally cant understand what more we can do all solutions are exhausted on ground our only hope remains up in the sky god rescue your people
a photograph shows us president donald trump wearing a protective face mask during a visit to a ford manufacturing plant in spring 2020,snopes,743,0,__label__0 a photograph shows us president donald trump wearing a protective face mask during a visit to a ford manufacturing plant in spring 2020
"quotes tom brady as saying, if anyone on my team kneels, i quit.",politifact,1081,3,"__label__3 quotes tom brady as saying, if anyone on my team kneels, i quit."
russia released more than 500 lions to make sure that people stay inside during the covid 19 pandemic ,snopes,404,1,__label__1 russia released more than 500 lions to make sure that people stay inside during the covid 19 pandemic 
says a marquette professor called him a maverick and found no correlation between his opinions and conservative background.,politifact,1264,3,__label__3 says a marquette professor called him a maverick and found no correlation between his opinions and conservative background.
163 paid protesters just filed a lawsuit against george soros for not paying their bail.,politifact,1171,3,__label__3 163 paid protesters just filed a lawsuit against george soros for not paying their bail.
bank of america just pledged $1 billion dollars to black lives matter.,politifact,1089,3,__label__3 bank of america just pledged $1 billion dollars to black lives matter.
some states are only getting 50 tests per day and the utah jazz got 58,politifact,104,0,__label__0 some states are only getting 50 tests per day and the utah jazz got 58
says ceos got advance notice of covid then resigned to dump stock,politifact,609,1,__label__1 says ceos got advance notice of covid then resigned to dump stock
drinking water a lot and gargling with warm water & salt or vinegar eliminates the coronavirus,politifact,682,1,__label__1 drinking water a lot and gargling with warm water & salt or vinegar eliminates the coronavirus
us president donald trump tapped world wrestling entertainment ceo vince mcmahon as an adviser on reopening the us economy,snopes,764,0,__label__0 us president donald trump tapped world wrestling entertainment ceo vince mcmahon as an adviser on reopening the us economy
teens and tweens transmit sars cov 2 quicker and more efficiently than adults ,snopes,62,0,__label__0 teens and tweens transmit sars cov 2 quicker and more efficiently than adults 
trump bailed out wall street but not main street,politifact,281,1,__label__1 trump bailed out wall street but not main street
technology coming to virginia allows covid 19 personal protection equipment to be decontaminated and reused 20 times without degrading performance,politifact,832,0,__label__0 technology coming to virginia allows covid 19 personal protection equipment to be decontaminated and reused 20 times without degrading performance
us hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths leaked documents reveal,politifact,238,1,__label__1 us hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths leaked documents reveal
says anthony fauci is married to ghislaine maxwells sister,politifact,223,1,__label__1 says anthony fauci is married to ghislaine maxwells sister
conservative supreme court justices vote remotely to deny wisconsin voters their right to vote remotely.,politifact,145,2,__label__2 conservative supreme court justices vote remotely to deny wisconsin voters their right to vote remotely.
says jill karofsky as a prosecutor went easy on a madison man in a 1999 sexual assault case,politifact,1262,3,__label__3 says jill karofsky as a prosecutor went easy on a madison man in a 1999 sexual assault case
a photograph shows a swastika flag bearing the names trump and pence displayed at the operation gridlock protest in michigan,snopes,373,1,__label__1 a photograph shows a swastika flag bearing the names trump and pence displayed at the operation gridlock protest in michigan
"nancy pelosi ordered a 220-seat boeing 757 to fly to her home state, costing taxpayers nearly $5.8 million annually.",politifact,118,3,"__label__3 nancy pelosi ordered a 220-seat boeing 757 to fly to her home state, costing taxpayers nearly $5.8 million annually."
teachers are the number one occupation of the antifa terrorist organization according to the fbi.,politifact,1090,3,__label__3 teachers are the number one occupation of the antifa terrorist organization according to the fbi.
huge! results from breaking chloroquine study show 100 cure rate for patients infected with the coronavirus,politifact,250,1,__label__1 huge! results from breaking chloroquine study show 100 cure rate for patients infected with the coronavirus
"says u.s. immigration and customs enforcement will be at every polling station on nov. 3, 2020.",politifact,1302,3,"__label__3 says u.s. immigration and customs enforcement will be at every polling station on nov. 3, 2020."
Six police officers were killed in 10 days while working during protests against police violence and racial injustice in the spring of 2020. ,snopes,9,3,__label__3 Six police officers were killed in 10 days while working during protests against police violence and racial injustice in the spring of 2020. 
says wearing masks has been proven ineffective,politifact,449,1,__label__1 says wearing masks has been proven ineffective
putin has stated: russian citizens (have) 2 options: stay home for 15 days or in jail for 5 years,politifact,255,1,__label__1 putin has stated: russian citizens (have) 2 options: stay home for 15 days or in jail for 5 years
news photo from stay at home protest was doctored to add confederate flag,politifact,593,1,__label__1 news photo from stay at home protest was doctored to add confederate flag
joseph maldonado passage better known as joe exotic of tiger king has covid 19 coronavirus disease,snopes,389,1,__label__1 joseph maldonado passage better known as joe exotic of tiger king has covid 19 coronavirus disease
cristina higgins authored a personal account about the spread of covid 19 in italy ,snopes,787,0,__label__0 cristina higgins authored a personal account about the spread of covid 19 in italy 
quotes joe biden as saying we need to teach our children the islamic faith in our schools!,politifact,1087,3,__label__3 quotes joe biden as saying we need to teach our children the islamic faith in our schools!
media outlets reported that the same boy died 3 times from the coronavirus in 3 countries,politifact,557,1,__label__1 media outlets reported that the same boy died 3 times from the coronavirus in 3 countries
wrong covid 19 case count by orlando health explains the 'outbreak' in florida,politifact,460,1,__label__1 wrong covid 19 case count by orlando health explains the 'outbreak' in florida
wisconsin has no tracing program going on that we can speak of.,politifact,1246,3,__label__3 wisconsin has no tracing program going on that we can speak of.
the gates foundation has the patent for this coronavirus,politifact,144,1,__label__1 the gates foundation has the patent for this coronavirus
michigan governor reopened traverse city so she could have her daughter's open house,politifact,501,1,__label__1 michigan governor reopened traverse city so she could have her daughter's open house
"alexandria ocasio-cortez compared trump to jesus, calling both con artists.",politifact,1249,3,"__label__3 alexandria ocasio-cortez compared trump to jesus, calling both con artists."
since the reopening of (georgia) weve seen our covid rate skyrocket by 40,politifact,539,1,__label__1 since the reopening of (georgia) weve seen our covid rate skyrocket by 40
says bernie sanders voted against the brady bill five times for background checks on people.,politifact,177,2,__label__2 says bernie sanders voted against the brady bill five times for background checks on people.
"(a recent study) said medicare for all will lower health care costs in this country by $450 billion a year and save the lives of 68,000 people who would otherwise have died.",politifact,1304,3,"__label__3 (a recent study) said medicare for all will lower health care costs in this country by $450 billion a year and save the lives of 68,000 people who would otherwise have died."
experts and officials warned in 2018 that the us government would be unable to respond effectively to a pandemic,snopes,772,0,__label__0 experts and officials warned in 2018 that the us government would be unable to respond effectively to a pandemic
joe bidens great-grandfather joseph j. biden was a slave-owner and fought for the confederacy.,politifact,1140,3,__label__3 joe bidens great-grandfather joseph j. biden was a slave-owner and fought for the confederacy.
bernie sanders has never taken corporate lobbyist money in his *entire political career.*,politifact,1278,3,__label__3 bernie sanders has never taken corporate lobbyist money in his *entire political career.*
if youve let somebody claim your kids for income tax purposes you will not receive a stimulus check the person who claimed your kids is gonna get it,politifact,857,0,__label__0 if youve let somebody claim your kids for income tax purposes you will not receive a stimulus check the person who claimed your kids is gonna get it
says a video proves pelosi was planning to rip up president donald trumps state of the union address from the start.,politifact,1346,3,__label__3 says a video proves pelosi was planning to rip up president donald trumps state of the union address from the start.
mike bloomberg owns more wealth than the bottom 125 million americans.,politifact,7,2,__label__2 mike bloomberg owns more wealth than the bottom 125 million americans.
says two patients at valley regional medical center in brownsville texas are being looked at for possible coronavirus infections,politifact,706,1,__label__1 says two patients at valley regional medical center in brownsville texas are being looked at for possible coronavirus infections
sunlight actually can kill the (novel coronavirus),politifact,667,1,__label__1 sunlight actually can kill the (novel coronavirus)
"HealthCare.gov, otherwise known as the ""Obamacare"" website, cost $5 billion.",snopes,1052,3,"__label__3 HealthCare.gov, otherwise known as the ""Obamacare"" website, cost $5 billion."
the 1981 farmer's almanac contained a passage predicting that a severe pneumatic illness would spread around the globe in 2020 ,snopes,357,1,__label__1 the 1981 farmer's almanac contained a passage predicting that a severe pneumatic illness would spread around the globe in 2020 
cbs news tried to pass off a photograph taken in ukraine in 2016 as a picture of a us child afflicted with a coronavirus related disease in 2020,snopes,329,1,__label__1 cbs news tried to pass off a photograph taken in ukraine in 2016 as a picture of a us child afflicted with a coronavirus related disease in 2020
A video shows two people waving guns at protesters in front of their home. ,snopes,889,2,__label__2 A video shows two people waving guns at protesters in front of their home. 
Viral video shows a riot taking place in the Mall of America as protests erupted in response to the death of George Floyd in May 2020.,snopes,1040,3,__label__3 Viral video shows a riot taking place in the Mall of America as protests erupted in response to the death of George Floyd in May 2020.
says its illegal to hold an absentee-only election or mail ballots to every registered voter,politifact,958,2,__label__2 says its illegal to hold an absentee-only election or mail ballots to every registered voter
starbucks ceo has admitted she doesnt like white people,politifact,258,3,__label__3 starbucks ceo has admitted she doesnt like white people
says actor kurt russell said this about the police.,politifact,1065,3,__label__3 says actor kurt russell said this about the police.
us president donald trump tweeted in november 2009 that obama's handling of this whole pandemic has been terrible! and that he would never let thousands of americans die from a pandemic while in office,snopes,372,1,__label__1 us president donald trump tweeted in november 2009 that obama's handling of this whole pandemic has been terrible! and that he would never let thousands of americans die from a pandemic while in office
violent crime rates increased in all but two wisconsin cities between 2008 and 2017.,politifact,1323,3,__label__3 violent crime rates increased in all but two wisconsin cities between 2008 and 2017.
a photograph shows a flyer posted for an end the lockdown rally in staten island,snopes,759,0,__label__0 a photograph shows a flyer posted for an end the lockdown rally in staten island
george floyds murder filmed before covid 19,politifact,142,1,__label__1 george floyds murder filmed before covid 19
bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna,politifact,525,1,__label__1 bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
"MSNBC used footage from the zombie apocalypse film ""World War Z"" as if it were live footage of the 2020 George Floyd protests.",snopes,1031,3,"__label__3 MSNBC used footage from the zombie apocalypse film ""World War Z"" as if it were live footage of the 2020 George Floyd protests."
you have areas of pennsylvania that are barely affected and [the governor wants] to keep them closed,politifact,828,0,__label__0 you have areas of pennsylvania that are barely affected and [the governor wants] to keep them closed
"trump supporters tackled an antifa thug, unmasked him, duct taped him to an electrical box.",politifact,1188,3,"__label__3 trump supporters tackled an antifa thug, unmasked him, duct taped him to an electrical box."
"says every time the dscc endorsed someone in north carolina's u.s. senate primary, and the person they didnt support was black, the candidate they picked ended up losing.",politifact,1286,3,"__label__3 says every time the dscc endorsed someone in north carolina's u.s. senate primary, and the person they didnt support was black, the candidate they picked ended up losing."
chinese officials are seeking approval to start the mass killing of 20000 people in order to stop the spread of new coronavirus ,snopes,440,1,__label__1 chinese officials are seeking approval to start the mass killing of 20000 people in order to stop the spread of new coronavirus 
if masks prevent coronavirus governors would have given them to prison inmates instead of releasing them,politifact,531,1,__label__1 if masks prevent coronavirus governors would have given them to prison inmates instead of releasing them
the average family in america forks over more of their hard-earned income to their local hospital than to the irs.,politifact,924,2,__label__2 the average family in america forks over more of their hard-earned income to their local hospital than to the irs.
hallmark greeting cards are made in china ,snopes,226,1,__label__1 hallmark greeting cards are made in china 
says for the coronavirus the death rate in texas per capita of 29 million people we're one of the lowest in the country,politifact,861,0,__label__0 says for the coronavirus the death rate in texas per capita of 29 million people we're one of the lowest in the country
this is tara reade in a photo with joe biden.,politifact,228,3,__label__3 this is tara reade in a photo with joe biden.
speaker pelosi presents a special service flag to mr. floyds family.,politifact,1174,3,__label__3 speaker pelosi presents a special service flag to mr. floyds family.
says there is no covid 19 virus,politifact,212,1,__label__1 says there is no covid 19 virus
mcdonalds (makes) you all sign noncompete contracts that you cannot go across town to try to get a job at burger king.,politifact,79,3,__label__3 mcdonalds (makes) you all sign noncompete contracts that you cannot go across town to try to get a job at burger king.
says joe biden has said 150 million americans died from guns and another 120 million from covid 19,politifact,148,0,__label__0 says joe biden has said 150 million americans died from guns and another 120 million from covid 19
"says police officers in austin, texas, have been authorized to use live rounds, and lethal force against protesters.",politifact,949,2,"__label__2 says police officers in austin, texas, have been authorized to use live rounds, and lethal force against protesters."
president trump covid 19 coronavirus: us cases 1329; us deaths 38; panic level: mass hysteria president obama h1n1 virus: us cases 608 million; us deaths 12469; panic level: totally chill do you all see how the media can manipulate your life,politifact,671,1,__label__1 president trump covid 19 coronavirus: us cases 1329; us deaths 38; panic level: mass hysteria president obama h1n1 virus: us cases 608 million; us deaths 12469; panic level: totally chill do you all see how the media can manipulate your life
"Additional entries to a ""You Had a Hunch the News System Was Rigged?"" list document several familial relationships between prominent U.S. political figures.",snopes,1047,3,"__label__3 Additional entries to a ""You Had a Hunch the News System Was Rigged?"" list document several familial relationships between prominent U.S. political figures."
"A photograph shows troops guarding the Lincoln Memorial in Washington, D.C.",snopes,892,2,"__label__2 A photograph shows troops guarding the Lincoln Memorial in Washington, D.C."
naiad director dr anthony fauci warned in january 2017 that the trump administration would face a surprise infectious disease outbreak,snopes,745,0,__label__0 naiad director dr anthony fauci warned in january 2017 that the trump administration would face a surprise infectious disease outbreak
go look at other countries that went through exactly this started to reopen and then they saw the infection rate go back up again,politifact,133,0,__label__0 go look at other countries that went through exactly this started to reopen and then they saw the infection rate go back up again
says the affordable care act took money out of the medicare trust fund.,politifact,989,2,__label__2 says the affordable care act took money out of the medicare trust fund.
referring to the ongoing covid 19 pandemic us president donald trump said people are dying today that have never died before ,snopes,408,1,__label__1 referring to the ongoing covid 19 pandemic us president donald trump said people are dying today that have never died before 
africans living in china now being forced to sleep outside in the cold as chinese nationals blame them for the rising number of new coronavirus cases in the country,politifact,846,0,__label__0 africans living in china now being forced to sleep outside in the cold as chinese nationals blame them for the rising number of new coronavirus cases in the country
italy went against the who's law against covid 19 autopsies and discovered covid is not a virus but a bacterium that clots the blood and reduces the oxygen saturation,politifact,507,1,__label__1 italy went against the who's law against covid 19 autopsies and discovered covid is not a virus but a bacterium that clots the blood and reduces the oxygen saturation
an economics professor taught her students about socialism by socialising grades and failing all of them,politifact,1242,3,__label__3 an economics professor taught her students about socialism by socialising grades and failing all of them
were down near the low end of per capita deaths  most places are at 60 deaths per 100000 we're at 29,politifact,504,1,__label__1 were down near the low end of per capita deaths  most places are at 60 deaths per 100000 we're at 29
the postal service is not losing money because of amazon its losing money because in 2006 the republican led congress passed a law forcing it to prepay its pensions for 75 years which no other corporation does  without this law the postal service would be turning a profit,politifact,850,0,__label__0 the postal service is not losing money because of amazon its losing money because in 2006 the republican led congress passed a law forcing it to prepay its pensions for 75 years which no other corporation does  without this law the postal service would be turning a profit
prolonged use of covid 19 related face masks cause health problems due to breathing in too much exhaled carbon dioxide ,snopes,347,1,__label__1 prolonged use of covid 19 related face masks cause health problems due to breathing in too much exhaled carbon dioxide 
kathleen o'mara is the author of a poem written during the 1919 pandemic ,snopes,386,1,__label__1 kathleen o'mara is the author of a poem written during the 1919 pandemic 
the (covid 19) cases are going up but it's because the testing is going up,politifact,0,1,__label__1 the (covid 19) cases are going up but it's because the testing is going up
nobel laureate dr tasuku honjo said that covid 19 was man made at a lab in wuhan china,snopes,360,1,__label__1 nobel laureate dr tasuku honjo said that covid 19 was man made at a lab in wuhan china
"says at polling places in texas on super tuesday the republican side gets 25 machines, the democratic side gets 5 machines. people were literally standing in line for seven hours.",politifact,1279,3,"__label__3 says at polling places in texas on super tuesday the republican side gets 25 machines, the democratic side gets 5 machines. people were literally standing in line for seven hours."
nurses submitting coronavirus tests say they all are coming back positive,politifact,475,1,__label__1 nurses submitting coronavirus tests say they all are coming back positive
"companies that use prison labor: whole foods, mcdonalds, walmart, victorias secret, at&t, bank of america, starbucks, wendys.",politifact,1159,3,"__label__3 companies that use prison labor: whole foods, mcdonalds, walmart, victorias secret, at&t, bank of america, starbucks, wendys."
says gov. tony evers wants to release half of the prison population.,politifact,982,2,__label__2 says gov. tony evers wants to release half of the prison population.
"trade agreements like nafta and permanent normal trade relations with china, which forced american workers to compete against people making pennies an hour, has resulted in the loss of 160,000 jobs here in michigan.",politifact,976,2,"__label__2 trade agreements like nafta and permanent normal trade relations with china, which forced american workers to compete against people making pennies an hour, has resulted in the loss of 160,000 jobs here in michigan."
"on the southern border, as you know, the wall is going up, it's going up very rapidly. we're at 182 miles.",politifact,953,2,"__label__2 on the southern border, as you know, the wall is going up, it's going up very rapidly. we're at 182 miles."
a viral list notes numerous good news items related to the fight against the covid 19 coronavirus disease pandemic ,snopes,783,0,__label__0 a viral list notes numerous good news items related to the fight against the covid 19 coronavirus disease pandemic 
st corona is the patron saint of plagues ,snopes,172,1,__label__1 st corona is the patron saint of plagues 
if you have worked during the covid 19 pandemic the department of labor has finally authorized up to $4800 in hazard pay for qualified essential workers,politifact,450,1,__label__1 if you have worked during the covid 19 pandemic the department of labor has finally authorized up to $4800 in hazard pay for qualified essential workers
says covid 19 came to the united states in 2019,politifact,125,1,__label__1 says covid 19 came to the united states in 2019
federal aid for state and local governments through a proposed coronavirus relief bill would amount to half of what the republicans put onto the national debt,politifact,806,0,__label__0 federal aid for state and local governments through a proposed coronavirus relief bill would amount to half of what the republicans put onto the national debt
says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers,politifact,530,1,__label__1 says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers
says the vatican confirmed that pope francis and two aides tested positive for coronavirus,politifact,713,1,__label__1 says the vatican confirmed that pope francis and two aides tested positive for coronavirus
first volunteer in uk coronavirus vaccine trial has died,politifact,90,1,__label__1 first volunteer in uk coronavirus vaccine trial has died
"if you like your private plan, you can keep it.",politifact,1308,3,"__label__3 if you like your private plan, you can keep it."
scientists are shocked to discover that weed kills corona virus,politifact,181,1,__label__1 scientists are shocked to discover that weed kills corona virus
"says bernie sanders has said things like women get cancer from having too many orgasms, or toddlers should run around naked and touch each others' genitals to insulate themselves from porn _Â¦ he's written about women's rape fantasies.",politifact,988,2,"__label__2 says bernie sanders has said things like women get cancer from having too many orgasms, or toddlers should run around naked and touch each others' genitals to insulate themselves from porn _Â¦ he's written about women's rape fantasies."
hand sanitizer is a threat to pets because it contains an ingredient also found in antifreeze,snopes,414,1,__label__1 hand sanitizer is a threat to pets because it contains an ingredient also found in antifreeze
nancy pelosi said if you accept a check from trump you might as well vote for him,politifact,251,1,__label__1 nancy pelosi said if you accept a check from trump you might as well vote for him
during the 2009 swine flu outbreak biden made reckless comments unsupported by science & the experts the obama admin had to clean up his mess & apologize for his ineptitude,politifact,69,0,__label__0 during the 2009 swine flu outbreak biden made reckless comments unsupported by science & the experts the obama admin had to clean up his mess & apologize for his ineptitude
a common cold can cause a positive covid 19 test,politifact,131,1,__label__1 a common cold can cause a positive covid 19 test
the federal emergency management agency is providing $4800 in hazard pay to those who have been working during the covid 19 pandemic ,snopes,300,1,__label__1 the federal emergency management agency is providing $4800 in hazard pay to those who have been working during the covid 19 pandemic 
north carolina is in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public,politifact,842,0,__label__0 north carolina is in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public
on the same day california announced it would provide some undocumented residents covid 19 stimulus payments it also announced it would lay off first responders because of a lack of funds,snopes,326,1,__label__1 on the same day california announced it would provide some undocumented residents covid 19 stimulus payments it also announced it would lay off first responders because of a lack of funds
"yet, for all that spending, health outcomes today on medicaid are mediocre and many patients have difficulty accessing care.",politifact,1322,3,"__label__3 yet, for all that spending, health outcomes today on medicaid are mediocre and many patients have difficulty accessing care."
house democrats have passed more than 275 bipartisan bills this congress.,politifact,999,2,__label__2 house democrats have passed more than 275 bipartisan bills this congress.
says nancy pelosi tried once again to include abortion funding in the latest coronavirus bill,politifact,499,1,__label__1 says nancy pelosi tried once again to include abortion funding in the latest coronavirus bill
the tony evers administration is wrong to blame old computer software being used to process unemployment claims; it has nothing to do with the backlog.,politifact,931,2,__label__2 the tony evers administration is wrong to blame old computer software being used to process unemployment claims; it has nothing to do with the backlog.
former us rep trey gowdy penned a text suggesting that covid 19 was part of a conspiracy against us president donald trump,snopes,364,1,__label__1 former us rep trey gowdy penned a text suggesting that covid 19 was part of a conspiracy against us president donald trump
in voting by mail hundreds of thousands of ballots have been rejected for defects and millions more end up missing or in landfills,politifact,495,1,__label__1 in voting by mail hundreds of thousands of ballots have been rejected for defects and millions more end up missing or in landfills
says deputy comptroller aycha sawa blocked an audit of the milwaukee lead program for three years that put our children in danger and spurred a criminal investigation.,politifact,1259,3,__label__3 says deputy comptroller aycha sawa blocked an audit of the milwaukee lead program for three years that put our children in danger and spurred a criminal investigation.
us president donald trump tweeted that barack obama had 8 years to prepair the next president for a pandemic and he failed,snopes,338,1,__label__1 us president donald trump tweeted that barack obama had 8 years to prepair the next president for a pandemic and he failed
staff at gold coast hospital in australia rolled in a wilson volleyball to keep tom hanks company in quarantine after he was diagnosed with the coronavirus ,snopes,421,1,__label__1 staff at gold coast hospital in australia rolled in a wilson volleyball to keep tom hanks company in quarantine after he was diagnosed with the coronavirus 
"in sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public instead of handing them over to ice to be safely removed.",politifact,164,3,"__label__3 in sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public instead of handing them over to ice to be safely removed."
a letter providing tips on how to protect against the new coronavirus was authored by pathologist james robb,snopes,28,0,__label__0 a letter providing tips on how to protect against the new coronavirus was authored by pathologist james robb
children dont seem to be getting this virus,politifact,516,1,__label__1 children dont seem to be getting this virus
as of june 23 the covid 19 death rate is way down,politifact,193,0,__label__0 as of june 23 the covid 19 death rate is way down
under the leadership of wvgovernor justice west virginia now has the highest rate of covid 19 spread from person to person than any other state,politifact,799,0,__label__0 under the leadership of wvgovernor justice west virginia now has the highest rate of covid 19 spread from person to person than any other state
says california has a top income tax rate of 13.3% and people arent leaving.,politifact,985,2,__label__2 says california has a top income tax rate of 13.3% and people arent leaving.
nascar eliminated the national anthem at races.,politifact,169,3,__label__3 nascar eliminated the national anthem at races.
"Former U.S. Vice President Joe Biden once said he didn't want his kids to grow up in a ""racial jungle"" in regards to desegregation.",snopes,912,2,"__label__2 Former U.S. Vice President Joe Biden once said he didn't want his kids to grow up in a ""racial jungle"" in regards to desegregation."
says to leave objects in the sun to avoid contracting the coronavirus,politifact,652,1,__label__1 says to leave objects in the sun to avoid contracting the coronavirus
